size;time
1000000;87053
1000000;69280
1000000;79235
1000000;76219
1000000;78156
1000000;67096
1000000;69827
1000000;67790
1000000;71574
1000000;69525
5000000;80067
5000000;73131
5000000;84977
5000000;78441
5000000;67703
5000000;77733
5000000;72486
5000000;81601
5000000;73292
5000000;80388
9000000;72905
9000000;85638
9000000;74559
9000000;78953
9000000;73155
9000000;81487
9000000;72473
9000000;81577
9000000;71734
9000000;79752
10000000;92551
10000000;80385
10000000;73711
10000000;85184
10000000;81991
10000000;71782
10000000;80449
10000000;85556
10000000;74938
10000000;85975
50000000;104727
50000000;105080
50000000;102213
50000000;102510
50000000;104311
50000000;106145
50000000;114270
50000000;114769
50000000;104686
50000000;102558
90000000;134034
90000000;136495
90000000;141882
90000000;141510
90000000;143208
90000000;142975
90000000;142530
90000000;141963
90000000;171960
90000000;132760
1000000;97721
1000000;77665
